No,1,2,3,4,5,6,7,8,9,10
540nm,10.173311,3.053549,6.028497,4.061820,1.281560,41.987255,57.557495,38.230381,31.743696,33.253483
541nm,9.704809,2.898520,5.739390,3.854677,1.216167,39.862850,54.562046,36.302094,30.121489,31.571594
542nm,9.171044,2.722413,5.407879,3.631163,1.142860,37.483589,51.250214,34.133629,28.356880,29.679712
543nm,8.652669,2.559939,5.085505,3.414600,1.078357,35.194199,48.023132,32.084297,26.706425,27.861002
544nm,8.160114,2.399185,4.778514,3.210911,1.007915,33.111389,45.039150,30.178942,25.177921,26.202402
545nm,7.694477,2.250551,4.492679,3.008612,0.936994,31.151583,42.255886,28.412344,23.702879,24.664389
546nm,7.312958,2.127353,4.257019,2.842608,0.882480,29.539234,39.968483,26.931932,22.467072,23.429188
547nm,6.905406,1.994730,4.003814,2.664738,0.825301,27.787479,37.534389,25.338755,21.148762,22.066450
548nm,6.518878,1.870957,3.765840,2.503649,0.777341,26.085402,35.168060,23.802126,19.884138,20.742226
549nm,6.155745,1.753112,3.548813,2.355963,0.729216,24.479286,32.916611,22.357912,18.691076,19.487221
550nm,5.807495,1.644224,3.346485,2.213806,0.680721,22.930418,30.750536,20.995907,17.524288,18.253067
551nm,5.512679,1.555816,3.176216,2.098604,0.643558,21.605476,28.979948,19.803675,16.532688,17.264786
552nm,5.188792,1.457427,2.986021,1.969009,0.599934,20.186228,27.065937,18.514324,15.454285,16.145346
553nm,4.881711,1.367833,2.807492,1.850142,0.564497,18.827694,25.254183,17.276201,14.416631,15.063325
554nm,4.625800,1.292811,2.658661,1.747076,0.533731,17.702095,23.724989,16.245296,13.550383,14.154911
555nm,4.344580,1.208759,2.491394,1.630338,0.499926,16.473257,22.050304,15.136906,12.623292,13.160597
556nm,4.077099,1.127149,2.324701,1.517983,0.464021,15.294977,20.519463,14.078341,11.751853,12.261045
557nm,3.818966,1.044209,2.164334,1.408862,0.423642,14.227487,19.095217,13.079265,10.959948,11.404980
558nm,3.577997,0.966512,2.017749,1.310040,0.387924,13.252559,17.798643,12.158952,10.216120,10.610963
559nm,3.380338,0.905953,1.901502,1.228942,0.361592,12.485746,16.784796,11.437912,9.606538,9.971231
560nm,3.164013,0.841628,1.777481,1.145276,0.338938,11.667498,15.677349,10.677222,8.954168,9.306677
561nm,2.957854,0.783901,1.657516,1.065206,0.321963,10.894465,14.667696,9.976975,8.342871,8.683558
562nm,2.784592,0.740152,1.558624,1.002180,0.308895,10.239580,13.817345,9.377143,7.835336,8.155837
563nm,2.592716,0.688092,1.449662,0.928740,0.292261,9.519223,12.884702,8.728839,7.295251,7.599929
564nm,2.412011,0.637594,1.344589,0.855645,0.273291,8.852160,12.017907,8.141265,6.789885,7.074077
565nm,2.239357,0.585086,1.239780,0.786645,0.250290,8.253477,11.225706,7.592363,6.341734,6.602415
566nm,2.078143,0.544553,1.144008,0.728046,0.235232,7.719782,10.466216,7.075652,5.923665,6.150244
567nm,1.938628,0.509532,1.062142,0.679646,0.218732,7.282297,9.846129,6.639234,5.579536,5.785739
568nm,1.794571,0.475317,0.979504,0.632373,0.202769,6.804572,9.162672,6.197908,5.210823,5.383499
569nm,1.660609,0.440568,0.903243,0.583715,0.185478,6.329362,8.523970,5.798004,4.868049,5.016125
570nm,1.558955,0.412034,0.843331,0.546053,0.173812,5.955810,8.010272,5.465945,4.582275,4.708594
571nm,1.459447,0.385424,0.784494,0.510085,0.167837,5.546141,7.470965,5.103301,4.286843,4.395471
572nm,1.365863,0.361923,0.735810,0.478241,0.162680,5.180696,6.981529,4.763192,4.006824,4.109457
573nm,1.271860,0.330660,0.681679,0.441446,0.145868,4.840119,6.510958,4.441964,3.742920,3.844115
574nm,1.182579,0.306904,0.635856,0.413114,0.132074,4.513440,6.081800,4.133757,3.490988,3.579599
575nm,1.107156,0.286777,0.596056,0.386733,0.123075,4.241961,5.701056,3.865947,3.266676,3.358963
576nm,1.028243,0.270904,0.558061,0.364958,0.121933,3.953411,5.308897,3.575567,3.022301,3.120946
577nm,0.952444,0.255026,0.522468,0.341777,0.121060,3.668600,4.931296,3.313067,2.803213,2.900657
578nm,0.890551,0.240473,0.490308,0.317926,0.115034,3.434459,4.619665,3.100053,2.627041,2.737494
579nm,0.830793,0.227501,0.456775,0.297408,0.108524,3.183504,4.294927,2.864225,2.446484,2.556087
580nm,0.779639,0.219929,0.430301,0.282857,0.106304,2.942122,3.991184,2.660555,2.267328,2.396311
